experiment_id,dimension_tested,family,is_anchor,sample_scope,lookback_window_days,max_total_crypto_weight,rebalance_frequency,covariance_method,cost_bps,cost_rate,ann_return_gross,ann_volatility_gross,sharpe_gross,max_drawdown_gross,calmar_gross,ann_return_net,ann_volatility_net,sharpe_net,max_drawdown_net,calmar_net,cumulative_cost,oos_start,oos_end,n_oos_days,n_rebalances,family_common_start,family_common_end
covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,False,common_family,252,0.2,monthly,ledoit_wolf,25.0,0.0025,0.11794264475402705,0.10886300679723426,1.0834042547961615,-0.23572796379664518,0.5003337018418923,0.11709797435506042,0.10885746380776115,1.0757000049335317,-0.23605457410999764,0.49606314470523516,0.005747776588991043,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,False,common_family,252,0.2,monthly,ledoit_wolf,50.0,0.005,0.11794264475402705,0.10886300679723426,1.0834042547961615,-0.23572796379664518,0.5003337018418923,0.11625383674717171,0.10885276880950412,1.067991545080674,-0.23638106651849333,0.4918068881717164,0.011495553177982086,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,False,common_family,252,0.0,monthly,ledoit_wolf,0.0,0.0,0.11623243021507701,0.10812408622020073,1.074991098452968,-0.23561828722590739,0.4933081875076829,0.11623243021507701,0.10812408622020073,1.074991098452968,-0.23561828722590739,0.4933081875076829,0.0,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,False,common_family,252,0.0,monthly,ledoit_wolf,10.0,0.001,0.11623243021507701,0.10812408622020073,1.074991098452968,-0.23561828722590739,0.4933081875076829,0.11592207577404023,0.1081217552294312,1.0721438578948055,-0.23574908087426694,0.49171803912934636,0.002114835609950838,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,False,common_family,252,0.0,monthly,ledoit_wolf,25.0,0.0025,0.11623243021507701,0.10812408622020073,1.074991098452968,-0.23561828722590739,0.4933081875076829,0.1154566782002917,0.10811848367405924,1.067871785441929,-0.2359452358057328,0.4893367641267137,0.005287089024877094,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,False,common_family,252,0.0,monthly,ledoit_wolf,50.0,0.005,0.11623243021507701,0.10812408622020073,1.074991098452968,-0.23561828722590739,0.4933081875076829,0.11468137302767634,0.10811363095644634,1.0607485107393704,-0.23627206593456707,0.48537846644738813,0.010574178049754189,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
crypto_cap_0_00,crypto_cap,crypto_cap,False,common_family,252,0.0,monthly,sample,0.0,0.0,0.11666100376963207,0.1071663628336635,1.0885972117081693,-0.23413123369606015,0.49827185347289776,0.11666100376963207,0.1071663628336635,1.0885972117081693,-0.23413123369606015,0.49827185347289776,0.0,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
crypto_cap_0_00,crypto_cap,crypto_cap,False,common_family,252,0.0,monthly,sample,10.0,0.001,0.11666100376963207,0.1071663628336635,1.0885972117081693,-0.23413123369606015,0.49827185347289776,0.11633915778479853,0.10716392840984129,1.0856186359636537,-0.23423388284258262,0.4966794571858953,0.002192323928612817,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
crypto_cap_0_00,crypto_cap,crypto_cap,False,common_family,252,0.0,monthly,sample,25.0,0.0025,0.11666100376963207,0.1071663628336635,1.0885972117081693,-0.23413123369606015,0.49827185347289776,0.11585652524855816,0.10716058412563167,1.0811486909471457,-0.23438783419283749,0.49429410723271466,0.0054808098215320435,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
crypto_cap_0_00,crypto_cap,crypto_cap,False,common_family,252,0.0,monthly,sample,50.0,0.005,0.11666100376963207,0.1071663628336635,1.0885972117081693,-0.23413123369606015,0.49827185347289776,0.11505250140839118,0.10715583000559303,1.0736933436322222,-0.23464436013443501,0.4903271544326659,0.010961619643064087,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
crypto_cap_0_10,crypto_cap,crypto_cap,False,common_family,252,0.1,monthly,sample,0.0,0.0,0.11809892124348709,0.10774404498031534,1.096106251301996,-0.23414979433947725,0.5043733716556839,0.11809892124348709,0.10774404498031534,1.096106251301996,-0.23414979433947725,0.5043733716556839,0.0,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
crypto_cap_0_10,crypto_cap,crypto_cap,False,common_family,252,0.1,monthly,sample,10.0,0.001,0.11809892124348709,0.10774404498031534,1.096106251301996,-0.23414979433947725,0.5043733716556839,0.1177518310565373,0.1077414872841927,1.092910762833077,-0.23425242472396657,0.5026707031753939,0.0023612335096053474,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
crypto_cap_0_10,crypto_cap,crypto_cap,False,common_family,252,0.1,monthly,sample,25.0,0.0025,0.11809892124348709,0.10774404498031534,1.096106251301996,-0.23414979433947725,0.5043733716556839,0.11723135623313308,0.1077379888834919,1.088115319842357,-0.23440634793906723,0.5001202282440184,0.005903083774013369,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
crypto_cap_0_10,crypto_cap,crypto_cap,False,common_family,252,0.1,monthly,sample,50.0,0.005,0.11809892124348709,0.10774404498031534,1.096106251301996,-0.23414979433947725,0.5043733716556839,0.1163643259234961,0.10773306002638636,1.0801171515502832,-0.2346628270097737,0.495878820716029,0.011806167548026738,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
crypto_cap_0_20,crypto_cap,crypto_cap,False,common_family,252,0.2,monthly,sample,0.0,0.0,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.0,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
crypto_cap_0_20,crypto_cap,crypto_cap,False,common_family,252,0.2,monthly,sample,10.0,0.001,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.11775181251141453,0.10774148477475672,1.0929106161622453,-0.23425242472396657,0.5026706240081332,0.002361233195271971,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
crypto_cap_0_20,crypto_cap,crypto_cap,False,common_family,252,0.2,monthly,sample,25.0,0.0025,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.11723133777404438,0.10773798630568646,1.0881151745441233,-0.23440634793906723,0.5001201494957725,0.005903082988179927,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
crypto_cap_0_20,crypto_cap,crypto_cap,False,common_family,252,0.2,monthly,sample,50.0,0.005,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.11636430760775807,0.10773305733362368,1.0801170085371796,-0.2346628270097737,0.49587874266473186,0.011806165976359854,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
